first_name,second_name,web_name,id,team,total_points,dreamteam_count,element_type,in_dreamteam,now_cost,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
Alexander,Tettey,Tettey,289,14,67,0,3,FALSE,44,2.2,2339,1,1,5,44,0,0,0,5,0,0,3,404,358,116.5,173,64.9
Josip,Drmic,Drmic,434,14,26,0,4,FALSE,53,1.2,636,1,0,0,13,0,0,0,0,1,0,0,67,59.6,67.3,231,35.3
Oliver,McBurnie,McBurnie,501,15,86,0,4,FALSE,55,2.4,2105,6,1,9,25,0,0,0,4,0,0,6,300,424.4,186.9,830,143.7
Sander,Berge,Berge,621,15,40,0,3,FALSE,47,2.9,943,1,1,4,11,0,0,0,0,0,0,3,147,152.4,66,82,30.3
Ryan,Bertrand,Bertrand,305,16,75,0,2,FALSE,48,2.3,2742,1,1,7,52,0,0,0,3,1,0,0,432,436.8,538.5,234,121.1
Jan,Bednarek,Bednarek,307,16,84,0,2,FALSE,44,2.5,3057,1,1,7,57,1,0,0,4,0,0,5,539,729.8,45.5,95,87.5
Michael,Obafemi,Obafemi,314,16,45,0,4,FALSE,49,2.1,655,3,2,3,12,0,0,0,1,0,0,2,165,170.8,130.7,235,53.4
James,Ward-Prowse,Ward-Prowse,321,16,117,0,3,FALSE,57,3.1,3420,5,4,9,60,0,0,2,9,0,0,8,587,864.6,989.9,548,240.7
Christian,Eriksen,Eriksen,343,17,48,0,3,FALSE,86,2.4,1090,2,2,1,18,0,0,0,5,0,0,6,205,262.4,348.9,225,83.3
Moussa,Sissoko,Sissoko,349,17,69,0,3,FALSE,48,2.4,2451,2,1,7,31,0,0,0,8,0,0,0,386,346,275.7,189,81
Tanguy,Ndombele,Ndombele,442,17,45,0,3,FALSE,58,2.1,1002,2,2,1,17,0,0,0,3,0,0,2,220,274.2,194.8,122,59.2
Steven,Bergwijn,Bergwijn,615,17,43,0,3,FALSE,69,3.1,699,3,1,2,9,0,0,0,2,0,0,5,141,174.2,187.3,147,50.8
Adam,Masina,Masina,355,18,66,0,2,FALSE,43,2.5,1815,1,0,6,31,0,0,0,3,0,0,4,281,351.2,201.3,109,66.4
Andre,Gray,Gray,364,18,39,0,4,FALSE,55,1.7,741,2,1,0,17,0,0,0,1,0,0,2,117,106.2,129.5,287,51.2
Roberto,Pereyra,Pereyra,369,18,60,0,3,FALSE,56,2.1,1641,3,0,5,27,0,0,0,4,0,0,0,194,237.8,293.4,350,88
Will,Hughes,Hughes,370,18,62,0,3,FALSE,53,2.1,2249,1,1,5,46,0,0,0,9,0,0,3,265,352.2,413.1,270,103.6
Tom,Cleverley,Cleverley,371,18,33,0,3,FALSE,48,1.8,964,1,0,1,26,0,0,0,2,0,0,2,153,174.8,219.2,221,61.6
Craig,Dawson,Dawson,439,18,61,0,2,FALSE,48,2.1,2359,2,0,4,49,0,0,0,6,0,0,2,353,550.6,67.5,403,102.1
Angelo,Ogbonna,Ogbonna,377,19,81,0,2,FALSE,45,2.6,2786,2,0,7,44,1,0,0,4,0,0,0,453,579,37.8,168,78.4
Felipe Anderson,Pereira Gomes,Felipe Anderson,390,19,66,0,3,FALSE,66,2.6,1493,1,4,7,27,0,0,0,1,0,0,1,299,377.2,414.7,355,114.8
Tomas,Soucek,Soucek,616,19,41,0,3,FALSE,48,3.2,1039,3,0,1,18,1,0,0,0,0,0,3,155,254.2,73.1,293,62.1
Jarrod,Bowen,Bowen,626,19,44,0,3,FALSE,64,3.4,916,1,4,1,13,0,0,0,0,0,0,3,173,221.4,235,342,79.8
João Filipe Iria,Santos Moutinho,Moutinho,415,20,113,0,3,FALSE,53,3,3105,1,7,11,36,0,0,0,7,0,0,12,617,712,1200.1,122,204
Patrick,Cutrone,Cutrone,487,20,23,0,4,FALSE,54,1.9,292,2,0,1,6,0,0,0,0,0,0,0,69,85.2,35.6,155,27.5
Pedro,Lomba Neto,Neto,528,20,57,0,3,FALSE,49,2,920,3,3,1,12,0,0,0,3,0,0,0,194,227.8,232,260,71.8
Shkodran,Mustafi,Mustafi,1,1,43,0,2,FALSE,51,2.9,1205,0,2,4,17,0,0,0,2,0,0,2,242,277.2,45.5,155,47.9
Sead,Kolasinac,Kolasinac,3,1,55,0,2,FALSE,52,2.1,1694,0,2,4,26,0,0,0,4,0,0,1,331,269.6,182.5,81,53
Nacho,Monreal,Monreal,6,1,10,0,2,FALSE,50,3.3,270,0,0,1,4,0,0,0,0,0,0,1,54,47.2,40.8,12,10
Rob,Holding,Holding,10,1,16,0,2,FALSE,44,2,580,0,0,1,9,0,0,0,1,0,0,2,96,133.6,4.8,19,15.8
Matteo,Guendouzi,Guendouzi,21,1,48,0,3,FALSE,41,2,1744,0,2,3,31,0,0,0,6,0,0,2,272,333.6,235.1,146,71.6
Pablo,Marí,Marí,617,1,8,0,2,FALSE,44,4,113,0,0,1,0,0,0,0,0,0,0,1,31,27.8,1.7,0,3
Simon,Francis,Francis,62,3,16,0,2,FALSE,43,1.1,964,0,0,1,21,0,0,0,3,1,0,1,161,263.8,64.4,72,40.2
Jack,Stacey,Stacey,446,3,39,0,2,FALSE,43,2.1,1547,0,2,1,27,0,0,0,2,0,0,4,241,308.8,147.2,86,54.3
Bernardo,Fernandes da Silva Junior,Bernardo,39,4,21,0,2,FALSE,43,1.5,675,0,0,1,17,0,0,0,1,0,0,3,121,154,72.6,92,31.9
Solomon,March,March,55,4,38,0,3,FALSE,46,2,1139,0,1,4,15,0,0,0,2,0,0,3,129,189.4,239.6,274,70.4
Dale,Stephens,Stephens,57,4,63,0,3,FALSE,44,1.9,2525,0,1,6,42,0,0,0,8,0,0,1,406,438.6,292.8,90,82.2
Dan,Burn,Burn,475,4,86,0,2,FALSE,45,2.5,2879,0,0,9,42,0,0,0,5,0,0,3,480,602.8,311.9,128,104.2
Matthew,Lowton,Lowton,85,5,48,0,2,FALSE,42,2.8,1530,0,1,6,31,0,0,0,2,0,0,1,270,294.2,181.7,15,49.2
Kurt,Zouma,Zouma,459,6,62,0,2,FALSE,47,2.2,2343,0,0,7,37,1,0,0,6,0,0,2,432,518,40.1,162,71.7
Joel,Ward,Ward,126,7,77,0,2,FALSE,43,2.7,2380,0,1,7,36,0,0,0,4,0,0,8,392,427,117,49,59.5
Martin,Kelly,Kelly,128,7,64,0,2,FALSE,41,3.4,1547,0,1,6,16,0,0,0,0,0,0,4,288,305.4,96.5,15,41.7
James,McArthur,McArthur,138,7,92,0,3,FALSE,52,2.5,3091,0,4,11,38,0,0,0,6,0,0,2,420,586.6,486.6,421,149.6
Gary,Cahill,Cahill,503,7,70,0,2,FALSE,43,2.8,2167,0,1,7,35,0,0,0,1,0,0,4,395,448.4,40,342,83.4
Seamus,Coleman,Coleman,144,8,55,0,2,FALSE,53,2,1833,0,1,5,29,0,0,0,3,1,0,2,325,321.2,149,175,64.6
Fabian,Delph,Delph,205,8,24,0,2,FALSE,53,1.5,1187,0,0,2,24,0,0,0,3,1,0,2,202,183,146.7,24,35.4
André Filipe,Tavares Gomes,André Gomes,422,8,39,0,3,FALSE,52,2.1,1457,0,1,5,20,0,0,0,6,0,0,3,184,156.6,179.4,33,36.4
