Pos,Name,BV,SV,Team,36_xMins,36_Pts
F,Wesley,6.0,6.0,Aston Villa,15,0.805
F,Samatta,5.9,5.9,Aston Villa,0,0
F,Davis,4.2,4.2,Aston Villa,10,0.488
F,Vassilev,4.3,4.3,Aston Villa,0,0
M,Douglas Luiz,4.8,4.8,Aston Villa,76,2.332
F,Murray,4.8,4.8,Brighton,0,0
M,Lallana,6.2,6.2,Brighton,29,1.114
M,Stephens,4.2,4.2,Burnley,3,0.1
G,Button,3.9,3.9,West Brom,0,0
M,Groß,5.8,5.8,Brighton,83,4.011
D,Duffy,4.3,4.3,Brighton,0,0
M,Pröpper,4.7,4.7,Brighton,10,0.355
M,Mooy,5.0,5.0,Brighton,0,0
D,Burn,4.2,4.2,Brighton,81,2.695
D,Dunk,4.9,4.9,Brighton,0,0
D,Montoya,4.5,4.5,Brighton,0,0
F,Andone,4.8,4.8,Brighton,1,0.052
M,March,4.9,4.9,Brighton,0,0
D,Webster,4.3,4.3,Brighton,88,2.894
D,Veltman,4.4,4.4,Brighton,32,1.086
F,Maupay,5.9,5.9,Brighton,0,0
M,Trossard,5.6,5.6,Brighton,76,3.482
G,Ryan,4.1,4.1,Arsenal,0,0
M,Jahanbakhsh,5.4,5.4,Brighton,61,2.493
M,Izquierdo,5.5,5.5,Brighton,5,0.195
D,Clarke,4.4,4.4,Brighton,0,0
D,White,4.5,4.5,Brighton,87,2.734
D,Bernardo,3.9,3.9,Brighton,0,0
M,Bissouma,4.4,4.4,Brighton,83,2.449
D,Lamptey,4.6,4.6,Brighton,0,0
F,Connolly,5.2,5.2,Brighton,20,0.983
M,Alzate,4.1,4.1,Brighton,5,0.19
M,Mac Allister,5.3,5.3,Brighton,57,2.389
D,Tarkowski,5.3,5.3,Burnley,89,2.714
D,Bardsley,4.4,4.4,Burnley,0,0
D,Pieters,4.3,4.3,Burnley,8,0.251
M,Cork,5.0,5.0,Burnley,62,1.926
D,Long,4.3,4.3,Burnley,0,0
F,Rodriguez,5.7,5.7,Burnley,16,0.787
F,Barnes,6.0,6.0,Burnley,41,2.21
D,Mee,4.7,4.7,Burnley,88,2.654
M,Westwood,5.3,5.3,Burnley,84,2.685
M,Gudmundsson,5.4,5.4,Burnley,38,1.566
